review_id,category,rating,review_text,sentiment_label,helpful_votes,verified_purchase,review_date,clean_text,processed_text,text_length,word_count,review_month,review_year,vader_scores,vader_compound,vader_sentiment,dominant_topic
R00034,Electronics,3,Decent product for the price. Does what it's supposed to do.,neutral,3,False,2023-08-19,decent product for the price does what its supposed to do,decent product price supposed,60,11,8,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,1
R00007,Electronics,5,"Excellent quality, fast delivery. Exactly as described. Highly recommend!",positive,43,True,2023-02-28,excellent quality fast delivery exactly as described highly recommend,excellent quality fast delivery exactly described highly recommend,73,9,2,2023,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.7773}",0.7773,positive,1
R00182,Clothing,3,Reasonable purchase. Material is okay but not outstanding.,neutral,16,True,2023-10-30,reasonable purchase material is okay but not outstanding,reasonable purchase material okay outstanding,58,8,10,2023,"{'neg': 0.368, 'neu': 0.509, 'pos': 0.123, 'compound': -0.5967}",-0.5967,negative,3
R00087,Books,5,Fascinating story with deep characters. Highly recommended.,positive,1,True,2023-04-14,fascinating story with deep characters highly recommended,fascinating story deep character highly recommended,59,7,4,2023,"{'neg': 0.0, 'neu': 0.472, 'pos': 0.528, 'compound': 0.6801}",0.6801,positive,1
R00156,Clothing,4,Excellent quality. Well made and the color is gorgeous.,positive,46,False,2023-08-01,excellent quality well made and the color is gorgeous,excellent quality well made color gorgeous,55,9,8,2023,"{'neg': 0.0, 'neu': 0.38, 'pos': 0.62, 'compound': 0.8689}",0.8689,positive,3
R00179,Clothing,3,Not bad. Took a while to arrive but product is acceptable.,neutral,7,True,2023-09-07,not bad took a while to arrive but product is acceptable,bad took arrive product acceptable,58,11,9,2023,"{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.596}",0.596,positive,5
R00195,Clothing,2,Poor material. Feels cheap and uncomfortable.,negative,18,True,2023-01-05,poor material feels cheap and uncomfortable,poor material feel cheap uncomfortable,45,6,1,2023,"{'neg': 0.588, 'neu': 0.412, 'pos': 0.0, 'compound': -0.6908}",-0.6908,negative,3
R00105,Books,5,Outstanding book. The plot twists kept me guessing throughout.,positive,47,True,2023-08-25,outstanding book the plot twists kept me guessing throughout,outstanding book plot twist kept guessing throughout,62,9,8,2023,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.6124}",0.6124,positive,5
R00010,Electronics,4,Great value for money. Setup was easy and performance is impressive.,positive,2,False,2023-05-15,great value for money setup was easy and performance is impressive,great value money setup easy performance impressive,68,11,5,2023,"{'neg': 0.0, 'neu': 0.355, 'pos': 0.645, 'compound': 0.9136}",0.9136,positive,5
R00235,Food & Kitchen,1,Very disappointed. Broke after minimal use.,negative,16,True,2023-02-07,very disappointed broke after minimal use,disappointed broke minimal use,43,6,2,2023,"{'neg': 0.618, 'neu': 0.382, 'pos': 0.0, 'compound': -0.7559}",-0.7559,negative,4
R00232,Food & Kitchen,3,"Average kitchen item. Does what it promises, nothing more.",neutral,9,True,2023-05-18,average kitchen item does what it promises nothing more,average kitchen item promise nothing,58,9,5,2023,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.3818}",0.3818,positive,4
R00214,Food & Kitchen,5,Great product! Family loves it. Worth every cent.,positive,39,True,2023-03-24,great product family loves it worth every cent,great product family love worth every cent,49,8,3,2023,"{'neg': 0.0, 'neu': 0.334, 'pos': 0.666, 'compound': 0.8748}",0.8748,positive,4
R00238,Food & Kitchen,2,Terrible quality. Not dishwasher safe despite claims.,negative,11,True,2023-01-01,terrible quality not dishwasher safe despite claims,terrible quality dishwasher safe despite claim,53,7,1,2023,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.6711}",-0.6711,negative,3
R00174,Clothing,3,Decent item. Color slightly different from pictures.,neutral,5,False,2023-01-23,decent item color slightly different from pictures,decent item color slightly different picture,52,7,1,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,1
R00067,Electronics,1,Terrible experience. Product arrived damaged and return process is awful.,negative,7,True,2023-04-14,terrible experience product arrived damaged and return process is awful,terrible experience product arrived damaged return process awful,73,10,4,2023,"{'neg': 0.562, 'neu': 0.438, 'pos': 0.0, 'compound': -0.8402}",-0.8402,negative,5
R00223,Food & Kitchen,3,Works fine. Nothing special but does the job.,neutral,14,False,2023-04-04,works fine nothing special but does the job,work fine nothing special job,45,8,4,2023,"{'neg': 0.18, 'neu': 0.665, 'pos': 0.155, 'compound': -0.059}",-0.059,negative,4
R00220,Food & Kitchen,4,Brilliant purchase. Changed my cooking experience completely.,positive,2,True,2023-02-09,brilliant purchase changed my cooking experience completely,brilliant purchase changed cooking experience completely,61,7,2,2023,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.5859}",0.5859,positive,2
R00016,Electronics,5,Fantastic build quality. Exceeded my expectations in every way.,positive,28,False,2023-08-06,fantastic build quality exceeded my expectations in every way,fantastic build quality exceeded expectation every way,63,9,8,2023,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.5574}",0.5574,positive,1
R00183,Clothing,3,Reasonable purchase. Material is okay but not outstanding.,neutral,14,True,2023-03-07,reasonable purchase material is okay but not outstanding,reasonable purchase material okay outstanding,58,8,3,2023,"{'neg': 0.368, 'neu': 0.509, 'pos': 0.123, 'compound': -0.5967}",-0.5967,negative,3
R00025,Electronics,4,Incredible performance. Way better than my previous device.,positive,4,False,2023-02-10,incredible performance way better than my previous device,incredible performance way better previous device,59,8,2,2023,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,positive,1
R00121,Books,3,Average writing. The story had potential but fell short.,neutral,0,False,2023-11-26,average writing the story had potential but fell short,average writing story potential fell short,56,9,11,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,4
R00020,Electronics,5,"Love this product! Fast, reliable and looks great. Worth every penny.",positive,46,False,2023-08-05,love this product fast reliable and looks great worth every penny,love product fast reliable look great worth every penny,69,11,8,2023,"{'neg': 0.0, 'neu': 0.433, 'pos': 0.567, 'compound': 0.8883}",0.8883,positive,4
R00113,Books,3,Decent book. Interesting premise but execution was average.,neutral,4,True,2023-01-10,decent book interesting premise but execution was average,decent book interesting premise execution average,59,8,1,2023,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.2144}",0.2144,positive,2
